,Length,gencodeID,ensemblID,gene_type,Symbol,EntrezID,Class,meanExprs,NumTx,gencodeTx,passExprsCut,logFC,AveExpr,t,P.Value,adj.P.Val,B,region,type
ENSG00000217801.9,2171,ENSG00000217801.9,ENSG00000217801,transcribed_unprocessed_pseudogene,,NA,InGen,0.646700232,6,"c(""ENST00000427998.5""; ""ENST00000394517.6""; ""ENST00000456409.5""; ""ENST00000412397.2""; ""ENST00000433695.1""; ""ENST00000451054.1"")",TRUE,0.183644947,1.0563448,4.269373855,2.52E-05,0.011932733,2.316607094,DLPFC,gene
ENSG00000171735.18,10033,ENSG00000171735.18,ENSG00000171735,protein_coding,CAMTA1,23261,InGen,17.6194422,16,"c(""ENST00000303635.11""; ""ENST00000490738.5""; ""ENST00000476163.5""; ""ENST00000473578.5""; ""ENST00000557126.5""; ""ENST00000467404.6""; ""ENST00000461311.1""; ""ENST00000486138.1""; ""ENST00000482934.1""; ""ENST00000470648.5""; ""ENST00000461580.5""; ""ENST00000472283.1""; ""ENST00000467267.1""; ""ENST00000495233.5""; ""ENST00000490905.5""; ""ENST00000476864.1"")",TRUE,-0.033698665,7.928494157,-3.284699072,0.00112224,0.071119419,-1.686491915,DLPFC,gene
ENSG00000074800.13,3958,ENSG00000074800.13,ENSG00000074800,protein_coding,ENO1,2023,InGen,87.61744891,6,"c(""ENST00000234590.8""; ""ENST00000464920.1""; ""ENST00000497492.1""; ""ENST00000486051.5""; ""ENST00000492343.1""; ""ENST00000489867.1"")",TRUE,0.040436761,8.680849341,3.276356652,0.001154912,0.071534893,-1.764550726,DLPFC,gene
ENSG00000280222.1,6473,ENSG00000280222.1,ENSG00000280222,TEC,,NA,InGen,0.847770217,1,ENST00000624418.1,TRUE,-0.107079115,2.611091367,-3.147256441,0.001787084,0.086031744,-1.490050577,DLPFC,gene
ENSG00000070886.11,5358,ENSG00000070886.11,ENSG00000070886,protein_coding,EPHA8,2046,InGen,0.288577517,2,"c(""ENST00000374644.8""; ""ENST00000166244.7"")",TRUE,0.212771652,0.140964442,4.302415772,2.19E-05,0.011462172,2.276008677,DLPFC,gene
ENSG00000125945.14,4392,ENSG00000125945.14,ENSG00000125945,protein_coding,ZNF436,80818,InGen,8.632474434,2,"c(""ENST00000314011.8""; ""ENST00000374608.3"")",TRUE,0.071744431,5.269864812,3.618958025,0.000338598,0.040367706,-0.35834774,DLPFC,gene
ENSG00000249087.6,2655,ENSG00000249087.6,ENSG00000249087,antisense,ZNF436-AS1,NA,InGen,1.805807569,6,"c(""ENST00000458053.4""; ""ENST00000454117.1""; ""ENST00000335648.3""; ""ENST00000518821.1""; ""ENST00000437367.3""; ""ENST00000518600.1"")",TRUE,0.09097166,2.561813111,3.587634233,0.000380355,0.042815123,-0.105286557,DLPFC,gene
ENSG00000204219.9,3515,ENSG00000204219.9,ENSG00000204219,protein_coding,TCEA3,6920,InGen,0.935318441,6,"c(""ENST00000450454.6""; ""ENST00000476978.1""; ""ENST00000374601.7""; ""ENST00000461794.1""; ""ENST00000374602.2""; ""ENST00000492271.1"")",TRUE,0.130002214,1.917900683,3.193906816,0.001528779,0.081368005,-1.275988091,DLPFC,gene
ENSG00000117676.13,5884,ENSG00000117676.13,ENSG00000117676,protein_coding,RPS6KA1,6195,InGen,1.497769554,20,"c(""ENST00000525525.5""; ""ENST00000526040.6""; ""ENST00000374168.6""; ""ENST00000524436.5""; ""ENST00000374166.8""; ""ENST00000526792.5""; ""ENST00000529454.5""; ""ENST00000530003.5""; ""ENST00000366866.8""; ""ENST00000531113.5""; ""ENST00000374163.5""; ""ENST00000530607.1""; ""ENST00000531382.5""; ""ENST00000525582.1""; ""ENST00000527264.5""; ""ENST00000474934.1""; ""ENST00000488985.1""; ""ENST00000403732.2""; ""ENST00000530305.1""; ""ENST00000438977.1"")",TRUE,-0.124236298,3.243419398,-3.527364771,0.000474631,0.048550184,-0.383918401,DLPFC,gene
ENSG00000169403.11,4706,ENSG00000169403.11,ENSG00000169403,protein_coding,PTAFR,5724,InGen,0.792506188,3,"c(""ENST00000373857.7""; ""ENST00000539896.1""; ""ENST00000305392.3"")",TRUE,-0.231481518,1.652893192,-3.116184207,0.00198088,0.089820738,-1.472468009,DLPFC,gene
ENSG00000142687.17,9629,ENSG00000142687.17,ENSG00000142687,protein_coding,KIAA0319L,79932,InGen,8.18855797,20,"c(""ENST00000325722.7""; ""ENST00000373266.8""; ""ENST00000426982.6""; ""ENST00000461312.5""; ""ENST00000485551.5""; ""ENST00000473423.1""; ""ENST00000473844.1""; ""ENST00000474856.1""; ""ENST00000492544.1""; ""ENST00000440579.5""; ""ENST00000467109.1""; ""ENST00000431916.5""; ""ENST00000482929.6""; ""ENST00000478463.6""; ""ENST00000470388.5""; ""ENST00000492888.1""; ""ENST00000469892.5""; ""ENST00000494948.1""; ""ENST00000476329.1""; ""ENST00000473465.1"")",TRUE,0.027781127,6.661417129,3.212056936,0.001437965,0.079660055,-1.821003961,DLPFC,gene
ENSG00000126070.19,21157,ENSG00000126070.19,ENSG00000126070,protein_coding,AGO3,192669,InGen,4.718391584,7,"c(""ENST00000324350.9""; ""ENST00000373191.8""; ""ENST00000397828.3""; ""ENST00000634486.1""; ""ENST00000246314.10""; ""ENST00000491443.2""; ""ENST00000471099.1"")",TRUE,-0.040108355,6.807189277,-3.088643972,0.002168652,0.092815299,-2.208685554,DLPFC,gene
