Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Autism Spectrum Disorders,C1510586,CHD8,57680,Q9HCK8,chromodomain helicase DNA binding protein 8,,66,0.656,0.577,1,0.8,definitive,0.974,38,0,2012,2020
Autism Spectrum Disorders,C1510586,NRXN2,9379,P58401;Q9P2S2,neurexin 2,,18,0.769,0.308,0.99934,0.74,moderate,1,5,0,2011,2018
Autism Spectrum Disorders,C1510586,CNTNAP2,26047,Q9UHC6,contactin associated protein 2,,203,0.53,0.846,2.8673E-09,0.7,,0.976,42,5,2008,2020
Autism Spectrum Disorders,C1510586,SHANK3,85358,Q9BYB0,SH3 and multiple ankyrin repeat domains 3,,169,0.55,0.731,1,0.7,,0.976,84,8,2007,2020
Autism Spectrum Disorders,C1510586,NLGN3,54413,Q9NZ94,neuroligin 3,,63,0.653,0.462,0.97641,0.6,strong,0.96,25,5,2003,2019
Autism Spectrum Disorders,C1510586,NRXN1,9378,P58400;Q9ULB1,neurexin 1,,139,0.581,0.692,0.99964,0.6,,1,31,2,2008,2019
Autism Spectrum Disorders,C1510586,EN2,2020,P19622,engrailed homeobox 2,Transcription factor,41,0.674,0.462,0.63448,0.59,,1,10,5,2004,2019
Autism Spectrum Disorders,C1510586,DLG4,1742,P78352,discs large MAGUK scaffold protein 4,Receptor,91,0.595,0.654,0.99954,0.55,,1,5,0,2010,2019
Autism Spectrum Disorders,C1510586,GABRB3,2562,P28472,gamma-aminobutyric acid type A receptor subunit beta3,Ion channel,139,0.546,0.615,0.95138,0.54,,1,5,2,2005,2018
Autism Spectrum Disorders,C1510586,SCN1A,6323,P35498,sodium voltage-gated channel alpha subunit 1,Ion channel,287,0.477,0.808,1,0.53,,1,4,1,2011,2018
Autism Spectrum Disorders,C1510586,MEF2C,4208,Q06413,myocyte enhancer factor 2C,Transcription factor,206,0.517,0.769,0.017256,0.41,,1,3,2,2010,2019
Autism Spectrum Disorders,C1510586,PTCHD1,139411,Q96NR3,patched domain containing 1,Receptor,62,0.678,0.385,0.98224,0.4,,1,10,1,2008,2020
Autism Spectrum Disorders,C1510586,SHANK2,22941,Q9UPX8,SH3 and multiple ankyrin repeat domains 2,,49,0.663,0.385,8.4299E-07,0.4,,0.974,39,6,2010,2019
Autism Spectrum Disorders,C1510586,OXTR,5021,P30559,oxytocin receptor,G-protein coupled receptor,144,0.541,0.769,0.00071066,0.4,,0.941,34,11,2008,2019
Autism Spectrum Disorders,C1510586,AVPR1A,552,P37288,arginine vasopressin receptor 1A,G-protein coupled receptor,51,0.663,0.5,6.8987E-07,0.4,,1,10,3,2006,2019
Autism Spectrum Disorders,C1510586,RELN,5649,P78509,reelin,,178,0.515,0.731,1,0.4,,0.929,14,4,2002,2019
Autism Spectrum Disorders,C1510586,PTEN,5728,P60484,phosphatase and tensin homolog,Enzyme,1349,0.305,0.923,0.25651,0.4,,1,37,6,2005,2019
Autism Spectrum Disorders,C1510586,NLGN4X,57502,Q8N0W4,neuroligin 4 X-linked,,45,0.686,0.423,0.99267,0.4,,0.889,18,3,2003,2018
Autism Spectrum Disorders,C1510586,BDNF,627,P23560,brain derived neurotrophic factor,Signaling,992,0.345,0.923,0.65626,0.4,,0.957,23,3,2009,2020
Autism Spectrum Disorders,C1510586,GRIN2B,2904,Q13224,glutamate ionotropic receptor NMDA type subunit 2B,Ion channel,249,0.51,0.692,1,0.38,,1,9,0,2011,2019
Autism Spectrum Disorders,C1510586,TSC2,7249,P49815,TSC complex subunit 2,Enzyme modulator,410,0.439,0.808,1,0.38,,1,10,2,2011,2019
Autism Spectrum Disorders,C1510586,FOXP1,27086,Q9H334,forkhead box P1,,317,0.46,0.808,0.99998,0.37,,1,8,1,2010,2019
Autism Spectrum Disorders,C1510586,ITGB3,3690,P05106,integrin subunit beta 3,Receptor,260,0.485,0.846,0.0017189,0.37,,1,7,4,2011,2019
Autism Spectrum Disorders,C1510586,IL1RAPL1,11141,Q9NZN1,interleukin 1 receptor accessory protein like 1,Receptor,103,0.617,0.692,0.99886,0.36,,0.857,7,0,2010,2019
Autism Spectrum Disorders,C1510586,DPP6,1804,P42658,dipeptidyl peptidase like 6,Enzyme,71,0.603,0.692,0.33997,0.35,,1,5,1,2008,2016
Autism Spectrum Disorders,C1510586,RAI1,10743,Q7Z5J4,retinoic acid induced 1,Transcription factor,205,0.545,0.731,1,0.34,,1,4,0,2010,2018
Autism Spectrum Disorders,C1510586,DPYD,1806,Q12882,dihydropyrimidine dehydrogenase,Enzyme,249,0.493,0.846,3.3686E-22,0.34,,1,4,0,2008,2011
Autism Spectrum Disorders,C1510586,CHD2,1106,O14647,chromodomain helicase DNA binding protein 2,,99,0.585,0.577,1,0.33,,1,4,0,2014,2017
Autism Spectrum Disorders,C1510586,ANKRD11,29123,Q6UB99,ankyrin repeat domain 11,,177,0.556,0.808,1,0.33,,1,3,0,2008,2013
Autism Spectrum Disorders,C1510586,NRXN3,9369,Q9HDB5;Q9Y4C0,neurexin 3,,64,0.656,0.615,1,0.33,limited,1,4,0,2012,2018
Autism Spectrum Disorders,C1510586,CDH10,1008,Q9Y6N8,cadherin 10,,16,0.76,0.385,0.29379,0.32,,1,3,0,2016,2017
Autism Spectrum Disorders,C1510586,JARID2,3720,Q92833,jumonji and AT-rich interaction domain containing 2,Transcription factor,63,0.615,0.577,0.99999,0.32,,1,2,0,2011,2018
Autism Spectrum Disorders,C1510586,MTNR1A,4543,P48039,melatonin receptor 1A,G-protein coupled receptor,79,0.59,0.808,7.2327E-07,0.32,,0.5,2,0,2010,2010
Autism Spectrum Disorders,C1510586,TSHZ3,57616,Q63HK5,teashirt zinc finger homeobox 3,Transcription factor,26,0.711,0.423,0.99053,0.32,,1,2,0,2016,2019
Autism Spectrum Disorders,C1510586,RYR2,6262,Q92736,ryanodine receptor 2,Ion channel,160,0.539,0.615,0.99999,0.32,,1,3,0,2012,2017
Autism Spectrum Disorders,C1510586,SLC1A1,6505,P43005,solute carrier family 1 member 1,Transporter,122,0.561,0.654,8.6876E-06,0.32,,1,3,1,2008,2019
Autism Spectrum Disorders,C1510586,GPR50,9248,Q13585,G protein-coupled receptor 50,G-protein coupled receptor,31,0.686,0.462,0.64639,0.32,,1,2,1,2010,2010
Autism Spectrum Disorders,C1510586,TRIP12,9320,Q14669,thyroid hormone receptor interactor 12,,81,0.678,0.462,1,0.32,strong,1,3,0,2014,2017
Autism Spectrum Disorders,C1510586,CEP41,95681,Q9BYV8,centrosomal protein 41,,69,0.636,0.5,3.5915E-06,0.32,,1,2,0,2011,2019
Autism Spectrum Disorders,C1510586,UPP2,151531,O95045,uridine phosphorylase 2,Enzyme,16,0.792,0.231,0.0012599,0.31,,1,2,0,2012,2017
Autism Spectrum Disorders,C1510586,DLX1,1745,P56177,distal-less homeobox 1,Transcription factor,30,0.695,0.462,0.96232,0.31,,1,1,0,2011,2011
