Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
alpha-2-macroglobulin ,A2M,2,extracellular matrix,Alzheimer,,,VEC,A2m,h Up,hV-mV,no mouse coronal data,,,,,,scattered,high,+++++,VEC,+++++,VEC,,,-,none,,,Other cytokine;Serine protease inhibitor,Proteolysis;Ligand-mediated signaling;Immunity and defense,Blood coagulation->alpha-2-macroglobulin;;
arylalkylamine N-acetyltransferase ,AANAT,15,metabolic enzyme,,protein evolution,,,Aanat,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,sparse to none,,,Acetyltransferase,Other amino acid metabolism,
apoptosis antagonizing transcription factor,AATF,26574,transcription factor,other neurodegenerative,,,,Aatf,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Other transcription factor,mRNA transcription regulation;Inhibition of apoptosis;Cell cycle control,
4-aminobutyrate aminotransferase,ABAT,18,metabolic enzyme,epilepsy,,interneuron+others,interneuron+others,Abat,,,,,,,,,scattered,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Transaminase,Amino acid metabolism,Aminobutyrate degradation->4-aminobutyrate aminotransferase;;Gamma-aminobutyric acid synthesis->GABA-T;;Pyrimidine Metabolism->Aminotransferase;;;;
"ATP-binding cassette, sub-family D (ALD), member 1",ABCD1,215,transporter,other neurodegenerative,,,,Abcd1,,,,,,,,,scattered,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,++,scattered+ubiquitous,+++,ubiquitous,+++,ubiquitous,Transporter,Lipid and fatty acid transport;Transport,
"aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)",ACAN,176,extracellular matrix,,,,,Agc1,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,++,sparse,++,sparse,Extracellular matrix glycoprotein,Cell adhesion;Mesoderm development,
"amiloride-sensitive cation channel 1, neuronal (degenerin)",ACCN1,40,ion channel,autism,,,,Accn1,h Down,,h Down,,,,,,scattered,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Other ion channel,Cation transport;Pain sensation;Other sensory perception,
angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 ,ACE,1636,metabolic enzyme,Alzheimer,,,,Ace,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,Metalloprotease,Proteolysis;Miscellaneous,
acetylcholinesterase (Yt blood group),ACHE,43,metabolic enzyme,Alzheimer,,,,Ache,,,,,,,,,widespread,high,++++,"ubiquitous(3,4,5/6)",++++,"ubiquitous(3,5,6)",++++,"ubiquitous(3,5,6)",+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,Esterase,Neuromuscular synaptic transmission,Nicotinic acetylcholine receptor signaling pathway->acetylcholinesterase;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->acetylcholinesterase;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->acetylcholinesterase;;;;
"actin, beta ",ACTB,60,cytoskeletal protein,mental retardation,,,,Actb,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Actin and actin related protein,Exocytosis;Endocytosis;Transport;Cytokinesis;Cell structure,
"actinin, alpha 2",ACTN2,88,cytoskeletal protein,schizophrenia,,,,Actn2,h Up,,no mouse coronal data,,17 ≠ 18,yes,,,laminar,medium,+++,"layer 2/3,4C,5/6",+++,"layer 2/3,5,6",,,+,sparse to none,,,Non-motor actin binding protein,Cell structure,Integrin signalling pathway->alpha actinin;;
ADAM metallopeptidase domain 23,ADAM23,8745,extracellular matrix,autism,,,,Adam23,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,high,+++++,"ubiquitous(2/3,6)",+++++,ubiquitous(3),,,+++++,ubiquitous,,,Metalloprotease,Proteolysis;Cell adhesion-mediated signaling;Neuronal activities,
